x,y
3.31532,0.95022
3.32282,0.9504
3.33033,0.95058
3.33784,0.95075
3.34535,0.95092
3.35285,0.9511
3.36036,0.95127
3.36787,0.95144
3.37538,0.95161
3.38288,0.95178
3.39039,0.95194
3.3979,0.95211
3.40541,0.95228
3.41291,0.95244
3.42042,0.95261
3.42793,0.95277
3.43544,0.95293
3.44294,0.95309
3.45045,0.95325
3.45796,0.95341
3.46547,0.95357
3.47297,0.95373
3.48048,0.95389
3.48799,0.95404
3.4955,0.9542
3.503,0.95435
3.51051,0.95451
3.51802,0.95466
3.52553,0.95481
3.53303,0.95496
3.54054,0.95512
3.54805,0.95527
3.55556,0.95541
3.56306,0.95556
3.57057,0.95571
3.57808,0.95586
3.58559,0.956
3.59309,0.95615
3.6006,0.95629
3.60811,0.95644
3.61562,0.95658
3.62312,0.95672
3.63063,0.95686
3.63814,0.957
3.64565,0.95714
3.65315,0.95728
3.66066,0.95742
3.66817,0.95756
3.67568,0.9577
3.68318,0.95783
3.69069,0.95797
3.6982,0.95811
3.70571,0.95824
3.71321,0.95837
3.72072,0.95851
3.72823,0.95864
3.73574,0.95877
3.74324,0.9589
3.75075,0.95903
3.75826,0.95916
3.76577,0.95929
3.77327,0.95942
3.78078,0.95955
3.78829,0.95968
3.7958,0.9598
3.8033,0.95993
3.81081,0.96005
3.81832,0.96018
3.82583,0.9603
3.83333,0.96043
3.84084,0.96055
3.84835,0.96067
3.85586,0.96079
3.86336,0.96092
3.87087,0.96104
3.87838,0.96116
3.88589,0.96128
3.89339,0.9614
3.9009,0.96151
3.90841,0.96163
3.91592,0.96175
3.92342,0.96187
3.93093,0.96198
3.93844,0.9621
3.94595,0.96221
3.95345,0.96233
3.96096,0.96244
3.96847,0.96255
3.97598,0.96267
3.98348,0.96278
3.99099,0.96289
3.9985,0.963
4,0.96302
4.00601,0.96311
4.01351,0.96322
4.02102,0.96333
4.02853,0.96344
4.03604,0.96355
4.04354,0.96366
4.05105,0.96377
4.05856,0.96387
4.06607,0.96398
4.07357,0.96409
4.08108,0.96419
4.08859,0.9643
4.0961,0.9644
4.1036,0.96451
4.11111,0.96461
4.11862,0.96471
4.12613,0.96482
4.13363,0.96492
4.14114,0.96502
4.14865,0.96512
4.15616,0.96522
4.16366,0.96532
4.17117,0.96542
4.17868,0.96552
4.18619,0.96562
4.19369,0.96572
4.2012,0.96582
4.20871,0.96592
4.21622,0.96601
4.22372,0.96611
4.23123,0.96621
4.23874,0.9663
4.24625,0.9664
4.25375,0.9665
4.26126,0.96659
4.26877,0.96668
4.27628,0.96678
4.28378,0.96687
4.29129,0.96697
4.2988,0.96706
4.30631,0.96715
4.31381,0.96724
4.32132,0.96733
4.32883,0.96742
4.33634,0.96752
4.34384,0.96761
4.35135,0.9677
4.35886,0.96779
4.36637,0.96787
4.37387,0.96796
4.38138,0.96805
4.38889,0.96814
4.3964,0.96823
4.4039,0.96831
4.41141,0.9684
4.41892,0.96849
4.42643,0.96857
4.43393,0.96866
4.44144,0.96875
4.44895,0.96883
4.45646,0.96892
4.46396,0.969
4.47147,0.96908
4.47898,0.96917
4.48649,0.96925
4.49399,0.96933
4.5015,0.96942
4.50901,0.9695
4.51652,0.96958
4.52402,0.96966
4.53153,0.96974
4.53904,0.96982
4.54655,0.9699
4.55405,0.96998
4.56156,0.97006
4.56907,0.97014
4.57658,0.97022
4.58408,0.9703
4.59159,0.97038
4.5991,0.97046
4.60661,0.97054
4.61411,0.97061
4.62162,0.97069
4.62913,0.97077
4.63664,0.97085
4.64414,0.97092
4.65165,0.971
4.65916,0.97107
4.66667,0.97115
4.67417,0.97122
4.68168,0.9713
4.68919,0.97137
4.6967,0.97145
4.7042,0.97152
4.71171,0.97159
4.71922,0.97167
4.72673,0.97174
4.73423,0.97181
4.74174,0.97189
4.74925,0.97196
4.75676,0.97203
4.76426,0.9721
4.77177,0.97217
4.77928,0.97224
4.78679,0.97231
4.79429,0.97238
4.8018,0.97245
4.80931,0.97252
4.81682,0.97259
4.82432,0.97266
4.83183,0.97273
4.83934,0.9728
4.84685,0.97287
4.85435,0.97294
4.86186,0.97301
4.86937,0.97307
4.87688,0.97314
4.88438,0.97321
4.89189,0.97328
4.8994,0.97334
4.90691,0.97341
4.91441,0.97347
4.92192,0.97354
4.92943,0.97361
4.93694,0.97367
4.94444,0.97374
4.95195,0.9738
4.95946,0.97387
4.96697,0.97393
4.97447,0.97399
4.98198,0.97406
4.98949,0.97412
4.997,0.97418
5.0045,0.97425
5.01201,0.97431
5.01952,0.97437
5.02703,0.97444
5.03453,0.9745
5.04204,0.97456
5.04955,0.97462
5.05706,0.97468
5.06456,0.97474
5.07207,0.97481
5.07958,0.97487
5.08709,0.97493
5.09459,0.97499
5.1021,0.97505
5.10961,0.97511
5.11712,0.97517
5.12462,0.97523
5.13213,0.97529
5.13964,0.97534
5.14715,0.9754
5.15465,0.97546
5.16216,0.97552
5.16967,0.97558
5.17718,0.97564
5.18468,0.97569
5.19219,0.97575
5.1997,0.97581
5.20721,0.97587
5.21471,0.97592
